currency,value,change,perc,timestamp
USD/BRl,5.1068,-0.01%,-0.01%,10/04
USD/BRl,5.1073,-0.33%,-0.33%,09/04
USD/BRl,5.1241,-1.89%,-1.89%,08/04
USD/BRl,5.2229,-1.22%,-1.22%,07/04
USD/BRl,5.2873,-1.17%,-1.17%,06/04
USD/BRl,5.3500,1.84%,1.84%,03/04
USD/BRl,5.2536,0.08%,0.08%,02/04
USD/BRl,5.2495,0.85%,0.85%,01/04
USD/BRl,5.2053,0.21%,0.21%,31/03
USD/BRl,5.1943,1.84%,1.84%,30/03
USD/BRl,5.1005,1.56%,1.56%,27/03
USD/BRl,5.0219,-0.29%,-0.29%,26/03
USD/BRl,5.0366,-1.23%,-1.23%,25/03
USD/BRl,5.0995,-0.88%,-0.88%,24/03
USD/BRl,5.1446,1.59%,1.59%,23/03
USD/BRl,5.0640,-0.63%,-0.63%,20/03
USD/BRl,5.0960,-0.23%,-0.23%,19/03
USD/BRl,5.1075,1.95%,1.95%,18/03
USD/BRl,5.0100,0.19%,0.19%,17/03
USD/BRl,5.0005,2.90%,2.90%,16/03
USD/BRl,4.8595,1.42%,1.42%,13/03
USD/BRl,4.7916,-0.49%,-0.49%,12/03
USD/BRl,4.8152,3.69%,3.69%,11/03
USD/BRl,5.1068,-0.01%,-0.01%,10/04
USD/BRl,5.1073,-0.33%,-0.33%,09/04
USD/BRl,5.1241,-1.89%,-1.89%,08/04
USD/BRl,5.2229,-1.22%,-1.22%,07/04
USD/BRl,5.2873,-1.17%,-1.17%,06/04
USD/BRl,5.3500,1.84%,1.84%,03/04
USD/BRl,5.2536,0.08%,0.08%,02/04
USD/BRl,5.2495,0.85%,0.85%,01/04
USD/BRl,5.2053,0.21%,0.21%,31/03
USD/BRl,5.1943,1.84%,1.84%,30/03
USD/BRl,5.1005,1.56%,1.56%,27/03
USD/BRl,5.0219,-0.29%,-0.29%,26/03
USD/BRl,5.0366,-1.23%,-1.23%,25/03
USD/BRl,5.0995,-0.88%,-0.88%,24/03
USD/BRl,5.1446,1.59%,1.59%,23/03
USD/BRl,5.0640,-0.63%,-0.63%,20/03
USD/BRl,5.0960,-0.23%,-0.23%,19/03
USD/BRl,5.1075,1.95%,1.95%,18/03
USD/BRl,5.0100,0.19%,0.19%,17/03
USD/BRl,5.0005,2.90%,2.90%,16/03
USD/BRl,4.8595,1.42%,1.42%,13/03
USD/BRl,4.7916,-0.49%,-0.49%,12/03
USD/BRl,4.8152,3.69%,3.69%,11/03
USD/BRl,5.1068,-0.01%,-0.01%,10/04
USD/BRl,5.1073,-0.33%,-0.33%,09/04
USD/BRl,5.1241,-1.89%,-1.89%,08/04
USD/BRl,5.2229,-1.22%,-1.22%,07/04
USD/BRl,5.2873,-1.17%,-1.17%,06/04
USD/BRl,5.3500,1.84%,1.84%,03/04
USD/BRl,5.2536,0.08%,0.08%,02/04
USD/BRl,5.2495,0.85%,0.85%,01/04
USD/BRl,5.2053,0.21%,0.21%,31/03
USD/BRl,5.1943,1.84%,1.84%,30/03
USD/BRl,5.1005,1.56%,1.56%,27/03
USD/BRl,5.0219,-0.29%,-0.29%,26/03
USD/BRl,5.0366,-1.23%,-1.23%,25/03
USD/BRl,5.0995,-0.88%,-0.88%,24/03
USD/BRl,5.1446,1.59%,1.59%,23/03
USD/BRl,5.0640,-0.63%,-0.63%,20/03
USD/BRl,5.0960,-0.23%,-0.23%,19/03
USD/BRl,5.1075,1.95%,1.95%,18/03
USD/BRl,5.0100,0.19%,0.19%,17/03
USD/BRl,5.0005,2.90%,2.90%,16/03
USD/BRl,4.8595,1.42%,1.42%,13/03
USD/BRl,4.7916,-0.49%,-0.49%,12/03
USD/BRl,4.8152,3.69%,3.69%,11/03
USD/BRl,5.1068,-0.01%,-0.01%,10/04
USD/BRl,5.1073,-0.33%,-0.33%,09/04
USD/BRl,5.1241,-1.89%,-1.89%,08/04
USD/BRl,5.2229,-1.22%,-1.22%,07/04
USD/BRl,5.2873,-1.17%,-1.17%,06/04
USD/BRl,5.3500,1.84%,1.84%,03/04
USD/BRl,5.2536,0.08%,0.08%,02/04
USD/BRl,5.2495,0.85%,0.85%,01/04
USD/BRl,5.2053,0.21%,0.21%,31/03
USD/BRl,5.1943,1.84%,1.84%,30/03
USD/BRl,5.1005,1.56%,1.56%,27/03
USD/BRl,5.0219,-0.29%,-0.29%,26/03
USD/BRl,5.0366,-1.23%,-1.23%,25/03
USD/BRl,5.0995,-0.88%,-0.88%,24/03
USD/BRl,5.1446,1.59%,1.59%,23/03
USD/BRl,5.0640,-0.63%,-0.63%,20/03
USD/BRl,5.0960,-0.23%,-0.23%,19/03
USD/BRl,5.1075,1.95%,1.95%,18/03
USD/BRl,5.0100,0.19%,0.19%,17/03
USD/BRl,5.0005,2.90%,2.90%,16/03
USD/BRl,4.8595,1.42%,1.42%,13/03
USD/BRl,4.7916,-0.49%,-0.49%,12/03
USD/BRl,4.8152,3.69%,3.69%,11/03
USD/BRl,5.1068,-0.01%,-0.01%,10/04
USD/BRl,5.1073,-0.33%,-0.33%,09/04
USD/BRl,5.1241,-1.89%,-1.89%,08/04
USD/BRl,5.2229,-1.22%,-1.22%,07/04
USD/BRl,5.2873,-1.17%,-1.17%,06/04
USD/BRl,5.3500,1.84%,1.84%,03/04
USD/BRl,5.2536,0.08%,0.08%,02/04
USD/BRl,5.2495,0.85%,0.85%,01/04
USD/BRl,5.2053,0.21%,0.21%,31/03
USD/BRl,5.1943,1.84%,1.84%,30/03
USD/BRl,5.1005,1.56%,1.56%,27/03
USD/BRl,5.0219,-0.29%,-0.29%,26/03
USD/BRl,5.0366,-1.23%,-1.23%,25/03
USD/BRl,5.0995,-0.88%,-0.88%,24/03
USD/BRl,5.1446,1.59%,1.59%,23/03
USD/BRl,5.0640,-0.63%,-0.63%,20/03
USD/BRl,5.0960,-0.23%,-0.23%,19/03
USD/BRl,5.1075,1.95%,1.95%,18/03
USD/BRl,5.0100,0.19%,0.19%,17/03
USD/BRl,5.0005,2.90%,2.90%,16/03
USD/BRl,4.8595,1.42%,1.42%,13/03
USD/BRl,4.7916,-0.49%,-0.49%,12/03
USD/BRl,4.8152,3.69%,3.69%,11/03
USD/BRl,5.1068,-0.01%,-0.01%,10/04
USD/BRl,5.1073,-0.33%,-0.33%,09/04
USD/BRl,5.1241,-1.89%,-1.89%,08/04
USD/BRl,5.2229,-1.22%,-1.22%,07/04
USD/BRl,5.2873,-1.17%,-1.17%,06/04
USD/BRl,5.3500,1.84%,1.84%,03/04
USD/BRl,5.2536,0.08%,0.08%,02/04
USD/BRl,5.2495,0.85%,0.85%,01/04
USD/BRl,5.2053,0.21%,0.21%,31/03
USD/BRl,5.1943,1.84%,1.84%,30/03
USD/BRl,5.1005,1.56%,1.56%,27/03
USD/BRl,5.0219,-0.29%,-0.29%,26/03
USD/BRl,5.0366,-1.23%,-1.23%,25/03
USD/BRl,5.0995,-0.88%,-0.88%,24/03
USD/BRl,5.1446,1.59%,1.59%,23/03
USD/BRl,5.0640,-0.63%,-0.63%,20/03
USD/BRl,5.0960,-0.23%,-0.23%,19/03
USD/BRl,5.1075,1.95%,1.95%,18/03
USD/BRl,5.0100,0.19%,0.19%,17/03
USD/BRl,5.0005,2.90%,2.90%,16/03
USD/BRl,4.8595,1.42%,1.42%,13/03
USD/BRl,4.7916,-0.49%,-0.49%,12/03
USD/BRl,4.8152,3.69%,3.69%,11/03
USD/BRl,5.1068,-0.01%,-0.01%,10/04
USD/BRl,5.1073,-0.33%,-0.33%,09/04
USD/BRl,5.1241,-1.89%,-1.89%,08/04
USD/BRl,5.2229,-1.22%,-1.22%,07/04
USD/BRl,5.2873,-1.17%,-1.17%,06/04
USD/BRl,5.3500,1.84%,1.84%,03/04
USD/BRl,5.2536,0.08%,0.08%,02/04
USD/BRl,5.2495,0.85%,0.85%,01/04
USD/BRl,5.2053,0.21%,0.21%,31/03
USD/BRl,5.1943,1.84%,1.84%,30/03
USD/BRl,5.1005,1.56%,1.56%,27/03
USD/BRl,5.0219,-0.29%,-0.29%,26/03
USD/BRl,5.0366,-1.23%,-1.23%,25/03
USD/BRl,5.0995,-0.88%,-0.88%,24/03
USD/BRl,5.1446,1.59%,1.59%,23/03
USD/BRl,5.0640,-0.63%,-0.63%,20/03
USD/BRl,5.0960,-0.23%,-0.23%,19/03
USD/BRl,5.1075,1.95%,1.95%,18/03
USD/BRl,5.0100,0.19%,0.19%,17/03
USD/BRl,5.0005,2.90%,2.90%,16/03
USD/BRl,4.8595,1.42%,1.42%,13/03
