name,last_rs,high_rs,low_rs,last_usd,high_usd,low_usd,chg,chg_perc,vol,time
Intel,57.14,291.802552,59.72,304.978096,56.06,286.287208,-1.84,-3.12%,40.52M,09/04
Microsoft,165.14,843.3369519999999,167.37,854.725116,163.33,834.093644,+0.01,+0.01%,51.43M,09/04
eBay,33.83,172.76304399999998,34.1,174.14188,33.37,170.41391599999997,+0.82,+2.48%,13.56M,09/04
Cisco,41.2,210.40016,42.2,215.50696,40.85,208.61278,-0.54,-1.29%,27.65M,09/04
Kraft Heinz,28.11,143.552148,28.5,145.5438,27.35,139.67098000000001,+0.79,+2.89%,11.11M,09/04
Vertex,246.61,1259.387948,252.0,1286.9135999999999,243.0,1240.9524,-3.05,-1.22%,2.49M,09/04
Monster Beverage,60.51,309.01246799999996,61.35,313.30218,59.83,305.53984399999996,+0.25,+0.41%,2.56M,09/04
Cintas,198.74,1014.925432,207.15,1057.87362,197.51,1008.644068,+6.33,+3.29%,934.44K,09/04
Autodesk,164.9,842.11132,170.81,872.292508,160.17,817.9561559999999,+5.69,+3.57%,3.71M,09/04
Gilead,73.51,375.400868,74.6,380.96727999999996,72.95,372.54106,-1.48,-1.97%,12.82M,09/04
Alphabet A,1206.57,6161.711675999999,1221.99,6240.458532,1192.42,6089.4504560000005,-0.43,-0.04%,2.70M,09/04
Fiserv,99.22,506.696696,101.82,519.9743759999999,97.91,500.006788,+0.85,+0.86%,3.83M,09/04
Liberty Global,18.59,94.935412,19.18,97.94842399999999,18.28,93.352304,+0.32,+1.75%,4.23M,09/04
Adobe,318.7,1627.5371599999999,320.78,1638.1593039999998,310.79,1587.142372,+1.52,+0.48%,3.30M,09/04
Qualcomm,71.58,365.544744,74.84,382.192912,70.0,357.476,-1.75,-2.39%,15.47M,09/04
Baidu,99.0,505.5732,100.37,512.569516,96.4,492.29552,+1.67,+1.72%,5.42M,09/04
Applied Materials,49.59,253.246212,52.74,269.332632,48.68,248.599024,-1.87,-3.63%,11.66M,09/04
Cadence Design,71.65,365.90222,72.73,371.417564,71.07,362.9402759999999,-0.19,-0.26%,1.95M,09/04
Microchip,78.45,400.62846,83.89,428.409452,77.86,397.61544799999996,-1.07,-1.35%,6.07M,09/04
Intuitive Surgical,503.79,2572.754772,515.2,2631.02336,490.75,2506.1621,-6.71,-1.31%,1.39M,09/04
Paychex,66.54,339.80647200000004,67.69,345.679292,65.74,335.721032,+1.48,+2.27%,2.88M,09/04
VeriSign,196.07,1001.290276,197.36,1007.878048,192.75,984.3357,+2.87,+1.49%,720.47K,09/04
Apple,267.99,1368.571332,270.07,1379.193476,264.7,1351.7699599999999,+1.92,+0.72%,40.53M,09/04
Fastenal,33.62,171.69061599999998,33.71,172.150228,32.55,166.22633999999996,+1.13,+3.48%,6.02M,09/04
Citrix Systems,139.4,711.88792,146.64,748.861152,138.76,708.619568,-7.42,-5.05%,3.33M,09/04
Sirius XM,5.25,26.810699999999997,5.38,27.474583999999997,5.15,26.30002,+0.08,+1.55%,21.79M,09/04
PACCAR,67.27,343.53443599999997,68.15,348.02842000000004,65.88,336.43598399999996,+0.81,+1.22%,1.99M,09/04
Amazon.com,2042.76,10431.966768,2053.0,10484.2604,2017.66,10303.786088,-0.24,-0.01%,4.66M,09/04
Ross Stores,88.74,453.17743199999995,92.64,473.093952,87.89,448.83665199999996,-0.31,-0.35%,2.69M,09/04
NetEase,327.35,1671.71098,331.37,1692.240316,321.0,1639.2828,+2.03,+0.62%,580.55K,09/04
NetApp,42.73,218.21356399999996,43.82,223.779976,41.39,211.370452,+1.75,+4.27%,2.47M,09/04
Costco,300.01,1532.091068,304.35,1554.25458,297.58,1519.6815439999998,-5.96,-1.95%,6.49M,09/04
Check Point Software,105.36,538.052448,108.4,553.57712,104.72,534.784096,-1.68,-1.57%,1.27M,09/04
Lam Research,258.28,1318.9843039999998,277.42,1416.728456,255.76,1306.1151679999998,-8.47,-3.18%,2.62M,09/04
Intuit,252.1,1287.42428,254.94,1301.927592,245.87,1255.608916,+6.70,+2.73%,1.65M,09/04
Expedia,62.42,318.766456,66.06,337.355208,61.27,312.893636,+1.87,+3.09%,5.28M,09/04
Trip.com ADR,24.82,126.750776,25.28,129.099904,24.31,124.14630799999999,+0.31,+1.26%,9.09M,09/04
Cognizant A,54.28,277.19710399999997,55.25,282.1507,51.92,265.145056,+2.89,+5.62%,6.21M,09/04
KLA-Tencor,150.12,766.6328159999999,157.87,806.210516,148.49,758.308732,-2.25,-1.48%,1.30M,09/04
Activision Blizzard,60.46,308.75712799999997,61.8,315.60024,59.55,304.10994,-0.61,-1.00%,8.40M,09/04
Amgen,218.21,1114.354828,219.35,1120.1765799999998,215.7,1101.53676,-0.98,-0.45%,2.50M,09/04
Xilinx,83.11,424.42614799999996,86.35,440.97218,81.94,418.451192,-1.39,-1.65%,3.10M,09/04
Electronic Arts,105.8,540.29944,109.38,558.581784,105.06,536.520408,-1.00,-0.94%,3.72M,09/04
Biogen,321.05,1639.5381399999999,322.45,1646.6876599999998,314.01,1603.5862679999998,+4.10,+1.29%,1.48M,09/04
NVIDIA,262.95,1342.83306,272.92,1393.747856,260.42,1329.912856,-4.00,-1.50%,13.16M,09/04
Starbucks,73.88,377.29038399999996,74.26,379.230968,70.14,358.190952,+2.31,+3.23%,19.77M,09/04
Comcast,38.0,194.0584,38.05,194.31373999999997,36.8,187.93023999999997,+0.32,+0.85%,28.62M,09/04
Analog Devices,98.79,504.500772,103.57,528.9112759999999,97.87,499.802516,-2.61,-2.57%,2.81M,09/04
Xcel Energy,66.27,338.42763599999995,66.64,340.31715199999996,62.61,319.736748,+3.47,+5.53%,4.32M,09/04
CSX,64.0,326.8352,64.8,330.92064,63.1,322.23908,+0.48,+0.76%,5.15M,09/04
Exelon,39.15,199.93122,39.83,203.403844,37.97,193.905196,+1.56,+4.15%,9.36M,09/04
Micron,46.13,235.576684,49.81,254.369708,45.35,231.59338,-2.16,-4.47%,39.84M,09/04
